MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay,theta_degrees,theta_position,mux,muy
137,0.0,0.0,5e-08,5e-08,gaussian,0.2735692488891946,0.7047192423217845,0.0,5e-08,5e-08,85.09589760214199,85.09589760214199,0.0,0.0
138,0.0,0.0,5e-08,5e-08,gaussian,0.2985251759839044,0.7996909452287609,0.0,5e-08,5e-08,16.730598401427997,16.730598401427997,0.0,-0.0
139,0.0,0.0,5e-08,5e-08,gaussian,0.3020448582222819,0.7046668369051621,0.0,5e-08,5e-08,-16.73059840142797,-16.73059840142797,-0.0,0.0
140,0.0,0.0,5e-08,5e-08,gaussian,0.2895821788486961,0.8038913545088563,0.0,5e-08,5e-08,-43.26940159857202,-43.26940159857202,0.0,0.0
141,0.0,0.0,5e-08,5e-08,gaussian,0.2805367840553009,0.6494528898797615,0.0,5e-08,5e-08,-76.7305984014279,-76.7305984014279,-0.0,0.0
142,0.0,0.0,5e-08,5e-08,gaussian,0.2629940735330104,0.8204026046985667,0.0,5e-08,5e-08,-0.0,-0.0,0.0,0.0
143,0.0,0.0,5e-08,5e-08,gaussian,0.2493231525796108,0.8652129286476755,0.0,5e-08,5e-08,-16.766142652965556,-16.766142652965556,-0.0,0.0
144,0.0,0.0,5e-08,5e-08,gaussian,0.2815946553707415,0.7926563841446937,0.0,5e-08,5e-08,76.76614265296564,76.76614265296564,0.0,0.0
145,0.0,0.0,5e-08,5e-08,gaussian,0.2921706228176597,0.8752946032804932,0.0,5e-08,5e-08,25.14921397944846,25.14921397944846,0.0,-0.0
146,0.0,0.0,5e-08,5e-08,gaussian,0.2950071421957246,0.8676946148043576,0.0,5e-08,5e-08,34.85078602055153,34.85078602055153,0.0,0.0
147,0.0,0.0,5e-08,5e-08,gaussian,0.3139531255455807,0.8474827705006593,0.0,5e-08,5e-08,76.76614265296564,76.76614265296564,0.0,-0.0
148,0.0,0.0,5e-08,5e-08,gaussian,0.2994258457956763,0.8575397018610421,0.0,5e-08,5e-08,68.38307132648285,68.38307132648285,0.0,-0.0
149,0.0,0.0,5e-08,5e-08,gaussian,0.3122780599669844,0.6739728412636987,0.0,5e-08,5e-08,16.76614265296564,16.76614265296564,0.0,0.0
150,0.0,0.0,5e-08,5e-08,gaussian,0.282734426242036,0.714824121884955,0.0,5e-08,5e-08,-18.370339830765573,-18.370339830765573,-0.0,0.0
151,0.0,0.0,5e-08,5e-08,gaussian,0.2598440854218882,0.817260399425873,0.0,5e-08,5e-08,-63.67406796615313,-63.67406796615313,0.0,0.0
152,0.0,0.0,5e-08,5e-08,gaussian,0.2478017512513114,0.7882891287622014,0.0,5e-08,5e-08,78.37033983076564,78.37033983076564,0.0,0.0
153,0.0,0.0,5e-08,5e-08,gaussian,0.3149723619608779,0.7231207463959425,0.0,5e-08,5e-08,-3.674067966153146,-3.674067966153146,0.0,0.0
154,0.0,0.0,5e-08,5e-08,gaussian,0.2857115279951287,0.7749220927957969,0.0,5e-08,5e-08,-41.62966016923437,-41.62966016923437,0.0,0.0
155,0.0,0.0,5e-08,5e-08,gaussian,0.3217041553387907,0.8675945250338677,0.0,5e-08,5e-08,-71.0222038984594,-71.0222038984594,0.0,0.0
156,0.0,0.0,5e-08,5e-08,gaussian,0.3179063603066808,0.8191069562005996,0.0,5e-08,5e-08,-25.718475763071865,-25.718475763071865,-0.0,0.0
157,0.0,0.0,5e-08,5e-08,gaussian,0.268414768693245,0.835261628673522,0.0,5e-08,5e-08,41.62966016923434,41.62966016923434,0.0,-0.0
158,0.0,0.0,5e-08,5e-08,gaussian,0.3134705430915554,0.8569017758767059,0.0,5e-08,5e-08,-18.397993442072718,-18.397993442072718,-0.0,0.0
159,0.0,0.0,5e-08,5e-08,gaussian,0.3381462573989027,0.7711071623524809,0.0,5e-08,5e-08,71.03879606524362,71.03879606524362,0.0,-0.0
160,0.0,0.0,5e-08,5e-08,gaussian,0.2712161378442693,0.763543880231777,0.0,5e-08,5e-08,-85.75719081890182,-85.75719081890182,-0.0,0.0
161,0.0,0.0,5e-08,5e-08,gaussian,0.2991487418585891,0.7581105882734461,0.0,5e-08,5e-08,-71.03879606524362,-71.03879606524362,0.0,0.0
162,0.0,0.0,5e-08,5e-08,gaussian,0.2733119111387183,0.674936628083454,0.0,5e-08,5e-08,-3.6795986884145435,-3.6795986884145435,0.0,0.0
